agent,perturb_rate,repair_cost,threshold,seed,viability,survived,success,steps,hazard_hits,repairs,final_energy,mean_self_error,mean_reliability
mirror,0.0,0,0.5,4465,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4465,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4465,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4466,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4466,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4466,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.65,4466,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.8,4466,129.3,1,1,18,0,0,32.0,0.0,1.0
baseline,0.0,0,-1.0,4467,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.35,4467,129.3,1,1,18,0,0,32.0,0.0,1.0
mirror,0.0,0,0.5,4467,129.3,1,1,18,0,0,32.0,0.0,1.0
