agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n
mirror,0.04,10,0.5,85.74333333333334,7.163424063923656,0.6888888888888889,0.6888888888888889,27.08888888888889,0.5666666666666667,0.4888888888888889,0.6977940760548746,0.9591408389071117,90
mirror,0.04,10,0.65,85.00333333333333,7.237536094148847,0.7,0.7,26.38888888888889,0.6111111111111112,0.5333333333333333,0.6800809722751376,0.9626430978604461,90
mirror,0.04,10,0.8,85.00333333333333,7.237536094148847,0.7,0.7,26.38888888888889,0.6111111111111112,0.5333333333333333,0.6800809722751376,0.9626430978604461,90
mirror,0.04,12,0.35,77.24555555555555,7.387709393997917,0.6222222222222222,0.6111111111111112,27.566666666666666,0.5666666666666667,0.3,0.8264025092156626,0.9226664861599523,90
mirror,0.04,12,0.5,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90
mirror,0.04,12,0.65,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90
mirror,0.04,12,0.8,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90
mirror,0.04,15,0.35,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90
mirror,0.04,15,0.5,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90
mirror,0.04,15,0.65,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90
mirror,0.04,15,0.8,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90
mirror,0.08,0,0.35,83.83777777777779,7.346998941923747,0.6555555555555556,0.6555555555555556,31.544444444444444,0.8888888888888888,0.3888888888888889,1.1707343203412557,0.9022478242199368,90
mirror,0.08,0,0.5,97.64222222222223,6.806836171901419,0.7777777777777778,0.7555555555555555,30.677777777777777,0.8333333333333334,0.7555555555555555,1.0222718126286356,0.9438654596228804,90
mirror,0.08,0,0.65,100.29222222222224,6.502507386889211,0.8333333333333334,0.8222222222222222,26.166666666666668,0.8444444444444444,0.8222222222222222,0.9602704511446747,0.9649601353330877,90
mirror,0.08,0,0.8,112.19222222222223,5.4134885468278355,0.9111111111111111,0.9111111111111111,25.655555555555555,0.7777777777777778,1.1222222222222222,0.858082592072716,0.9834648705943903,90
mirror,0.08,2,0.35,73.21111111111111,7.295824476549606,0.5777777777777777,0.5777777777777777,34.28888888888889,1.0666666666666667,0.4888888888888889,1.274969374240322,0.8905415031947557,90
mirror,0.08,2,0.5,84.89555555555556,6.869527041620722,0.6888888888888889,0.6777777777777778,32.15555555555556,1.011111111111111,0.8333333333333334,1.2055916238294035,0.9292449801171662,90
mirror,0.08,2,0.65,94.13111111111112,6.52936412419144,0.7666666666666667,0.7666666666666667,28.2,0.8111111111111111,1.0444444444444445,1.0856124188034586,0.9630943507848058,90
mirror,0.08,2,0.8,102.14666666666668,6.297417023949826,0.8444444444444444,0.8444444444444444,23.866666666666667,0.6444444444444445,1.0666666666666667,1.043541570549019,0.9814070714626623,90
mirror,0.08,4,0.35,68.22666666666667,7.29433515430439,0.5222222222222223,0.5111111111111111,34.13333333333333,0.8777777777777778,0.4666666666666667,1.2622278352195706,0.8849916141391708,90
mirror,0.08,4,0.5,81.03444444444445,7.254535997367881,0.6555555555555556,0.6333333333333333,33.51111111111111,0.9333333333333333,0.7666666666666667,1.0679606790707723,0.93325090963756,90
mirror,0.08,4,0.65,88.81666666666666,7.35094909241663,0.7222222222222222,0.7222222222222222,31.455555555555556,0.9,1.1333333333333333,0.8743123461938986,0.9664542887277765,90
mirror,0.08,4,0.8,99.58555555555556,6.55150277928233,0.8222222222222222,0.8222222222222222,28.711111111111112,0.7666666666666667,1.211111111111111,0.79941802057016,0.9832276671557486,90
mirror,0.08,6,0.35,62.45,7.223474226445669,0.4888888888888889,0.4888888888888889,32.977777777777774,0.9444444444444444,0.4444444444444444,1.2470295805085585,0.8970169465618553,90
mirror,0.08,6,0.5,69.73333333333333,7.552191106682893,0.5888888888888889,0.5666666666666667,31.033333333333335,0.9333333333333333,0.7555555555555555,1.0379896695273911,0.9396613396504715,90
mirror,0.08,6,0.65,73.55666666666667,8.10735490899926,0.6444444444444445,0.6444444444444445,29.344444444444445,1.0,1.0888888888888888,0.9173540838545676,0.9642539673403577,90
mirror,0.08,6,0.8,77.37444444444445,8.023733608893972,0.6777777777777778,0.6777777777777778,28.7,0.9888888888888889,1.2333333333333334,0.8465348791315972,0.9755056579020057,90
mirror,0.08,8,0.35,47.34888888888889,7.796599701311015,0.3888888888888889,0.3888888888888889,34.0,1.0444444444444445,0.5222222222222223,1.4978352750864072,0.8776850283267308,90
mirror,0.08,8,0.5,50.70777777777778,8.18345613884952,0.4666666666666667,0.4666666666666667,30.644444444444446,1.0666666666666667,0.8777777777777778,1.3063442599237338,0.9299425039416039,90
mirror,0.08,8,0.65,62.97,8.337558546831781,0.5666666666666667,0.5666666666666667,30.522222222222222,1.011111111111111,1.1666666666666667,1.1076762813499366,0.9622889817129946,90
mirror,0.08,8,0.8,65.17111111111112,8.195730633100883,0.5777777777777777,0.5777777777777777,31.07777777777778,1.0444444444444445,1.1888888888888889,1.0851800124207336,0.9679167992039481,90
