agent,perturb_rate,repair_cost,best_threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival,mirror_positive
mirror,0.2,10,0.5,25.923333333333332,7.209684679895551,0.2777777777777778,0.25555555555555554,35.05555555555556,1.1333333333333333,1.0222222222222221,2.682316012889282,0.9054443787840089,90,24.484444444444442,0.17777777777777778,0.16666666666666666,3.567513438522419,1.3444444444444446,1.43888888888889,0.1,1
mirror,0.2,12,0.35,14.876666666666667,6.489081399030678,0.16666666666666666,0.16666666666666666,36.22222222222222,1.2777777777777777,0.6555555555555556,3.066724100256443,0.8411108044398439,90,21.421111111111113,0.15555555555555556,0.14444444444444443,3.5332556281898553,1.4333333333333333,-6.544444444444446,0.0111111111111111,0
mirror,0.2,15,0.35,20.133333333333333,7.471405331526662,0.25555555555555554,0.25555555555555554,33.06666666666667,1.2222222222222223,0.6,2.912146078021768,0.8725055793059125,90,32.09888888888889,0.26666666666666666,0.26666666666666666,3.371268962604704,1.3555555555555556,-11.965555555555554,-0.011111111111111127,0
mirror,0.25,0,0.8,54.595555555555556,8.584180484154972,0.4888888888888889,0.4777777777777778,35.955555555555556,1.6111111111111112,2.6666666666666665,2.6091740594451434,0.9644342748765835,90,29.724444444444448,0.2111111111111111,0.18888888888888888,4.655677383821142,1.2666666666666666,24.87111111111111,0.2777777777777778,1
mirror,0.25,2,0.8,42.65555555555556,7.765207802274974,0.37777777777777777,0.36666666666666664,37.17777777777778,1.4111111111111112,2.611111111111111,2.8324028352097415,0.9660265068902325,90,31.162222222222223,0.2111111111111111,0.18888888888888888,4.753082882303131,1.2,11.493333333333336,0.16666666666666666,1
mirror,0.25,4,0.8,24.43777777777778,7.012097016138593,0.26666666666666666,0.26666666666666666,35.644444444444446,1.4,2.8333333333333335,2.8282060775216444,0.9672364129203367,90,23.63,0.17777777777777778,0.16666666666666666,4.968693031755398,1.3222222222222222,0.8077777777777797,0.08888888888888888,1
mirror,0.25,6,0.65,21.43888888888889,6.736054757348222,0.2111111111111111,0.2111111111111111,35.63333333333333,1.1,1.6555555555555554,3.4726918826125477,0.9447627199866635,90,26.615555555555556,0.18888888888888888,0.17777777777777778,4.576068063930371,1.2555555555555555,-5.176666666666666,0.022222222222222227,0
mirror,0.25,8,0.35,8.704444444444444,5.5311960384493775,0.1111111111111111,0.1111111111111111,37.977777777777774,1.4444444444444444,0.5777777777777777,4.117164441480323,0.8482009345971313,90,12.517777777777777,0.1,0.1,4.448511076689053,1.4666666666666666,-3.8133333333333326,0.0111111111111111,0
mirror,0.25,10,0.35,8.607777777777777,6.432593780196148,0.15555555555555556,0.15555555555555556,35.1,1.4666666666666666,0.6555555555555556,3.8855765174357697,0.8484563892817943,90,18.20777777777778,0.16666666666666666,0.16666666666666666,4.413431282534759,1.4666666666666666,-9.600000000000001,-0.0111111111111111,0
mirror,0.25,12,0.5,13.382222222222223,6.562530984938974,0.18888888888888888,0.18888888888888888,34.022222222222226,1.0888888888888888,1.0888888888888888,3.662624107996031,0.9029810392294689,90,16.563333333333333,0.12222222222222222,0.12222222222222222,4.3930761929806526,1.4222222222222223,-3.1811111111111092,0.06666666666666667,0
mirror,0.25,15,0.35,21.45777777777778,7.172635695190754,0.2222222222222222,0.2222222222222222,36.93333333333333,1.2333333333333334,0.5333333333333333,3.874422290858556,0.8568248097143886,90,29.565555555555555,0.2222222222222222,0.2111111111111111,4.283741408102297,1.3666666666666667,-8.107777777777777,0.0,0
mirror,0.3,0,0.8,51.91,7.900335183078864,0.43333333333333335,0.4111111111111111,37.91111111111111,1.5,2.922222222222222,3.1211662091408994,0.9644442882185223,90,32.768888888888895,0.23333333333333334,0.2222222222222222,5.372385116445384,1.2555555555555555,19.1411111111111,0.2,1
mirror,0.3,2,0.8,35.218888888888884,7.100607119062919,0.3,0.28888888888888886,39.577777777777776,1.4,3.0,3.09752179191818,0.9673332602514507,90,17.721111111111114,0.12222222222222222,0.1111111111111111,5.088535712062792,1.3777777777777778,17.49777777777777,0.17777777777777776,1
mirror,0.3,4,0.8,25.192222222222224,6.660585471331953,0.2222222222222222,0.2222222222222222,38.24444444444445,1.2,2.7777777777777777,3.1513267145506996,0.9660807163600653,90,21.14888888888889,0.1111111111111111,0.1111111111111111,5.22012568051501,1.2444444444444445,4.043333333333333,0.1111111111111111,1
mirror,0.3,6,0.8,8.695555555555556,6.53486107474329,0.17777777777777778,0.17777777777777778,34.62222222222222,1.3111111111111111,2.4444444444444446,3.2878043367048293,0.9666186817231095,90,5.687777777777778,0.06666666666666667,0.05555555555555555,5.069032038354715,1.5444444444444445,3.007777777777778,0.11111111111111112,1
mirror,0.3,8,0.35,16.053333333333335,6.298958794723772,0.14444444444444443,0.14444444444444443,40.21111111111111,1.4,0.6666666666666666,4.578855700645027,0.8397132439907733,90,20.894444444444446,0.14444444444444443,0.13333333333333333,5.190195525973326,1.4444444444444444,-4.841111111111111,0.0,0
mirror,0.3,10,0.35,17.385555555555555,6.753602185107176,0.17777777777777778,0.16666666666666666,37.25555555555555,1.3,0.6,4.632683611322394,0.8387594910041891,90,24.738888888888887,0.17777777777777778,0.16666666666666666,5.117818578593214,1.3111111111111111,-7.353333333333332,0.0,0
mirror,0.3,12,0.35,10.352222222222222,6.351787863123405,0.14444444444444443,0.14444444444444443,36.56666666666667,1.3333333333333333,0.6555555555555556,4.135009273495773,0.8484720460937034,90,22.628888888888888,0.14444444444444443,0.14444444444444443,4.743823361180874,1.3333333333333333,-12.276666666666666,0.0,0
mirror,0.3,15,0.35,4.013333333333334,5.825040750957208,0.1111111111111111,0.1111111111111111,35.111111111111114,1.2666666666666666,0.6,4.765851108133397,0.8310005396153098,90,14.85,0.1111111111111111,0.1111111111111111,5.318347324675847,1.4222222222222223,-10.836666666666666,0.0,0
