agent,condition,seed,final_viability,mean_viability,success_rate,mean_identity_continuity,mean_self_error,final_contamination,mean_contamination,false_identity_adoption,goal_drift_rate,policy_drift_rate,audit_count,repair_count,rejected_claims,final_memory_reliability
stateless_language,control,77022,186.97206571966558,135.55988814084014,0.8,0.9888888888888889,0.06666666666666667,0.06,0.05856611900278656,0.0,0.03333333333333333,0.0,0,0,0,0.85
stateless_language,control,77023,184.03556941631447,143.93976483770624,0.8166666666666667,0.9777777777777779,0.1,0.08,0.08720358819737983,0.0,0.03333333333333333,0.03333333333333333,0,0,0,0.85
stateless_language,control,77024,187.93278505160154,151.13488045043894,0.8166666666666667,0.9777777777777779,0.13333333333333333,0.06153846153846154,0.05639345790332011,0.05,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77025,177.80538615481873,121.17177940576491,0.7833333333333333,0.9833333333333333,0.1,0.045112781954887216,0.057455115376510074,0.03333333333333333,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77026,204.76173439160007,158.67876434923787,0.8333333333333334,0.9888888888888889,0.06666666666666667,0.037383177570093455,0.02198554673666614,0.016666666666666666,0.0,0.016666666666666666,0,0,0,0.85
stateless_language,control,77027,192.67340603939866,144.4462302118632,0.8166666666666667,0.9888888888888889,0.11666666666666667,0.06363636363636363,0.04355494967167838,0.03333333333333333,0.0,0.0,0,0,0,0.85
stateless_language,control,77028,164.8370694108561,125.57215845892384,0.75,0.9833333333333333,0.08333333333333333,0.0423728813559322,0.06885775490953279,0.03333333333333333,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77029,200.18699670465796,145.9135081272578,0.85,0.9833333333333333,0.1,0.07317073170731707,0.08760836079451634,0.03333333333333333,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77030,204.79382157801462,155.37169769165828,0.8666666666666667,0.9833333333333333,0.13333333333333333,0.07207207207207207,0.07171815351654538,0.0,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77031,174.48141601072712,140.3191115033386,0.8,0.9777777777777777,0.13333333333333333,0.09615384615384616,0.10432153324394072,0.016666666666666666,0.05,0.0,0,0,0,0.85
stateless_language,control,77032,181.050212821431,143.73453449995898,0.8166666666666667,0.9777777777777779,0.13333333333333333,0.06956521739130435,0.10041489315474215,0.016666666666666666,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77033,162.4605846519825,128.00673409474842,0.7666666666666667,0.9722222222222222,0.11666666666666667,0.07339449541284404,0.0961617945668126,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77034,162.1372314688757,127.96776688296907,0.8,0.9555555555555556,0.2,0.11650485436893204,0.13218973775936885,0.08333333333333333,0.016666666666666666,0.03333333333333333,0,0,0,0.85
stateless_language,control,77035,186.7828874057212,140.94470975142465,0.8166666666666667,0.9777777777777777,0.1,0.0743801652892562,0.07930927161899001,0.03333333333333333,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77036,200.2225945898981,154.962616920829,0.8333333333333334,0.9777777777777779,0.06666666666666667,0.05504587155963303,0.03814504508418238,0.016666666666666666,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77037,170.8362403771112,124.62852459744263,0.8333333333333334,0.9555555555555556,0.21666666666666667,0.1206896551724138,0.13636466352407262,0.03333333333333333,0.05,0.05,0,0,0,0.85
stateless_language,control,77038,189.9213213781549,150.74487662428913,0.8166666666666667,0.9833333333333333,0.1,0.08035714285714286,0.05148898851537568,0.0,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77039,220.0,170.69642762365274,0.9,0.9944444444444446,0.016666666666666666,0.00909090909090909,0.013526683523102507,0.016666666666666666,0.0,0.0,0,0,0,0.85
stateless_language,control,77040,173.97192183758966,132.63802648300754,0.7666666666666667,0.9888888888888889,0.06666666666666667,0.04504504504504504,0.055233984686752696,0.0,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77041,207.81590713030576,157.83437552741208,0.8666666666666667,0.9777777777777779,0.11666666666666667,0.08181818181818182,0.054867440580784625,0.03333333333333333,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77042,189.35783244002042,144.51712130524493,0.85,0.9666666666666667,0.15,0.09917355371900827,0.11618472966649537,0.05,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77043,220.0,167.8192410130906,0.8833333333333333,1.0,0.05,0.0380952380952381,0.026724825736539025,0.0,0.0,0.0,0,0,0,0.85
stateless_language,control,77044,220.0,167.72075875469497,0.9,0.9777777777777779,0.08333333333333333,0.07407407407407407,0.07523732108134798,0.016666666666666666,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77045,191.58047596737498,161.6780896630154,0.8166666666666667,0.9722222222222221,0.1,0.07142857142857142,0.027662700271875527,0.03333333333333333,0.03333333333333333,0.016666666666666666,0,0,0,0.85
stateless_language,control,77046,220.0,168.00512521899134,0.9,0.9944444444444446,0.03333333333333333,0.041666666666666664,0.03735604694047043,0.0,0.0,0.016666666666666666,0,0,0,0.85
stateless_language,control,77047,219.2798165137615,158.4494389031672,0.9,0.9944444444444446,0.08333333333333333,0.05504587155963303,0.06473885562790936,0.016666666666666666,0.0,0.0,0,0,0,0.85
