condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,25,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,25,MemoryOnly,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,25,PersistentSelf,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,25,MirrorNeuroSymbolic,121.9,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,1,0,0.6704732668845176
control,26,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,26,MemoryOnly,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,26,PersistentSelf,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,26,MirrorNeuroSymbolic,119.60000000000001,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,2,0.7650281842931312
control,27,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,27,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,27,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,27,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6549943353969647
control,28,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,28,MemoryOnly,122.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,15,0,0.0
control,28,PersistentSelf,122.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,15,0,0.0
control,28,MirrorNeuroSymbolic,119.7,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,2,2,0.7287645070432841
control,29,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,29,MemoryOnly,120.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,31,0,0.0
control,29,PersistentSelf,120.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,31,0,0.0
control,29,MirrorNeuroSymbolic,117.39999999999999,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,4,4,0.7994727250764808
control,30,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,30,MemoryOnly,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,30,PersistentSelf,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,30,MirrorNeuroSymbolic,117.35,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,5,3,0.7435063787605614
control,31,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,31,MemoryOnly,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,31,PersistentSelf,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,31,MirrorNeuroSymbolic,119.60000000000001,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,2,0.7707639056691665
control,32,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,32,MemoryOnly,122.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,12,0,0.0
control,32,PersistentSelf,122.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,12,0,0.0
control,32,MirrorNeuroSymbolic,95.39999999999999,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1,4,4,0.6914854610439141
control,33,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,33,MemoryOnly,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,33,PersistentSelf,122.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,11,0,0.0
control,33,MirrorNeuroSymbolic,119.10000000000001,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,6,6,0.6401771692411866
control,34,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,34,MemoryOnly,123.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3,0,0.0
control,34,PersistentSelf,123.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3,0,0.0
control,34,MirrorNeuroSymbolic,121.7,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,2,2,0.6860291187623941
control,35,NeuralOnly,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,35,MemoryOnly,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
