agent,perturbation,seed,viability,survival_steps,survived,collected,hazards_hit,final_energy,calibrations_env,scans_env,contradictions,calibrations_agent,scans_agent,repairs,r_global_mean,r_self_mean,r_sensor_mean,r_map_mean
A_predictor_only,control,9196,357.44,170,1,11,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9197,241.67,170,1,1,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9198,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9199,267.5,164,0,9,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9200,287.56,170,1,5,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9201,241.67,170,1,1,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9202,143.5,86,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9203,253.61,170,1,2,0,25.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9204,298.62,170,1,6,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9205,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9206,159.5,102,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9207,121.5,87,0,3,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9208,310.89,170,1,7,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9209,311.44,170,1,7,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9210,242.44,170,1,1,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9211,310.56,170,1,7,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9212,239.0,170,0,6,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9213,161.0,92,0,6,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9214,345.17,170,1,10,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9215,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9216,322.94,170,1,8,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9217,345.17,170,1,10,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9218,287.56,170,1,5,0,23.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9219,311.11,170,1,7,0,25.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9220,107.0,84,0,2,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9221,264.89,170,1,3,0,24.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9222,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9223,298.84,170,1,6,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9224,207.5,104,0,9,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
