agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
A_no_reliability,control,14606,1,1,43,4,117.0,0.0,0.0,0,0,0,0,0,0,0.27906976744186046,182.55
A_no_reliability,control,14623,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,14640,1,1,36,4,124.0,0.0,0.0,0,0,0,0,0,0,0.05555555555555555,176.6
A_no_reliability,control,14657,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.06896551724137931,170.65
A_no_reliability,control,14674,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.0,170.65
A_no_reliability,control,14691,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.03571428571428571,169.8
A_no_reliability,control,14708,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.030303030303030304,174.05
A_no_reliability,control,14725,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.045454545454545456,164.7
A_no_reliability,control,14742,1,1,45,4,95.0,2.0,0.0,0,0,0,0,0,0,0.044444444444444446,153.25
A_no_reliability,control,14759,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.07142857142857142,169.8
A_no_reliability,control,14776,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.0,170.65
A_no_reliability,control,14793,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.0,168.1
A_no_reliability,control,14810,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.3793103448275862,170.65
A_no_reliability,control,14827,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.4230769230769231,168.1
A_no_reliability,control,14844,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.0,165.55
A_no_reliability,control,14861,1,1,34,4,106.0,2.0,0.0,0,0,0,0,0,0,0.029411764705882353,143.9
A_no_reliability,control,14878,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.0,166.4
A_no_reliability,control,14895,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.0,164.7
A_no_reliability,control,14912,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.06451612903225806,172.35
A_no_reliability,control,14929,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.045454545454545456,164.7
A_no_reliability,control,14946,1,1,37,4,123.0,0.0,0.0,0,0,0,0,0,0,0.10810810810810811,177.45
A_no_reliability,control,14963,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.09090909090909091,164.7
A_no_reliability,control,14980,1,1,44,4,116.0,0.0,0.0,0,0,0,0,0,0,0.18181818181818182,183.4
A_no_reliability,control,14997,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,1.1363636363636365,164.7
A_no_reliability,control,15014,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.0,171.5
A_no_reliability,control,15031,1,1,38,4,122.0,0.0,0.0,0,0,0,0,0,0,0.0,178.3
A_no_reliability,control,15048,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.07407407407407407,168.95
A_no_reliability,control,15065,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.034482758620689655,170.65
A_no_reliability,control,15082,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.5666666666666667,171.5
A_no_reliability,control,15099,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.3125,173.2
A_no_reliability,control,15116,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.0,167.25
A_no_reliability,control,15133,1,1,34,4,126.0,0.0,0.0,0,0,0,0,0,0,0.0,174.9
