agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.04,10,0.5,85.74333333333334,7.163424063923656,0.6888888888888889,0.6888888888888889,27.08888888888889,0.5666666666666667,0.4888888888888889,0.6977940760548746,0.9591408389071117,90,75.61333333333334,0.5777777777777777,0.5777777777777777,1.03320926635998,0.6222222222222222,10.129999999999995,0.11111111111111116
mirror,0.04,10,0.65,85.00333333333333,7.237536094148847,0.7,0.7,26.38888888888889,0.6111111111111112,0.5333333333333333,0.6800809722751376,0.9626430978604461,90,75.61333333333334,0.5777777777777777,0.5777777777777777,1.03320926635998,0.6222222222222222,9.389999999999986,0.12222222222222223
mirror,0.04,10,0.8,85.00333333333333,7.237536094148847,0.7,0.7,26.38888888888889,0.6111111111111112,0.5333333333333333,0.6800809722751376,0.9626430978604461,90,75.61333333333334,0.5777777777777777,0.5777777777777777,1.03320926635998,0.6222222222222222,9.389999999999986,0.12222222222222223
mirror,0.04,12,0.35,77.24555555555555,7.387709393997917,0.6222222222222222,0.6111111111111112,27.566666666666666,0.5666666666666667,0.3,0.8264025092156626,0.9226664861599523,90,76.55222222222223,0.5777777777777777,0.5777777777777777,0.9925596529429643,0.5888888888888889,0.693333333333328,0.04444444444444451
mirror,0.04,12,0.5,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90,76.55222222222223,0.5777777777777777,0.5777777777777777,0.9925596529429643,0.5888888888888889,2.826666666666668,0.07777777777777783
mirror,0.04,12,0.65,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90,76.55222222222223,0.5777777777777777,0.5777777777777777,0.9925596529429643,0.5888888888888889,2.826666666666668,0.07777777777777783
mirror,0.04,12,0.8,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90,76.55222222222223,0.5777777777777777,0.5777777777777777,0.9925596529429643,0.5888888888888889,2.826666666666668,0.07777777777777783
mirror,0.04,15,0.35,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90,82.04,0.6222222222222222,0.6222222222222222,0.8217411990935213,0.5666666666666667,-2.941666666666663,0.0
mirror,0.04,15,0.5,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90,82.04,0.6222222222222222,0.6222222222222222,0.8217411990935213,0.5666666666666667,-2.941666666666663,0.0
mirror,0.04,15,0.65,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90,82.04,0.6222222222222222,0.6222222222222222,0.8217411990935213,0.5666666666666667,-2.941666666666663,0.0
